,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q18_First.Click,Q18_Last.Click,Q18_Page.Submit,Q18_Click.Count,Q17_First.Click,Q17_Last.Click,Q17_Page.Submit,Q17_Click.Count,Tornado_trial,Tornado_trial_t_First.Click,Tornado_trial_t_Last.Click,Tornado_trial_t_Page.Submit,Tornado_trial_t_Click.Count,Marine_trial,Marine_trial_t_First.Click,Marine_trial_t_Last.Click,Marine_trial_t_Page.Submit,Marine_trial_t_Click.Count,Mugging_trial,Mugging_trial_t_First.Click,Mugging_trial_t_Last.Click,Mugging_trial_t_Page.Submit,Mugging_trial_t_Click.Count,Crushed_trial,Crushed_trial_t_First.Click,Crushed_trial_t_Last.Click,Crushed_trial_t_Page.Submit,Crushed_trial_t_Click.Count,Dysentery_trial,Dysentery_trial_t_First.Click,Dysentery_trial_t_Last.Click,Dysentery_trial_t_Page.Submit,Dysentery_trial_t_Click.Count,Cancer_trial,Cancer_trial_t_First.Click,Cancer_trial_t_Last.Click,Cancer_trial_t_Page.Submit,Cancer_trial_t_Click.Count,Drunk_trial,Drunk_trial_t_First.Click,Drunk_trial_t_Last.Click,Drunk_trial_t_Page.Submit,Drunk_trial_t_Click.Count,Football_trial,Football_trial_t_First.Click,Football_trial_t_Last.Click,Football_trial_t_Page.Submit,Football_trial_t_Click.Count,Check1_trial,Check1_trial_t_First.Click,Check1_trial_t_Last.Click,Check1_trial_t_Page.Submit,Check1_trial_t_Click.Count,Heater_trial,Heater_trial_t_First.Click,Heater_trial_t_Last.Click,Heater_trial_t_Page.Submit,Heater_trial_t_Click.Count,flattire_trial,flattire_trial_t_First.Click,flattire_trial_t_Last.Click,flattire_trial_t_Page.Submit,flattire_trial_t_Click.Count,clerk_trial,clerk_trial_t_First.Click,clerk_trial_t_Last.Click,clerk_trial_t_Page.Submit,clerk_trial_t_Click.Count,corruption_trial,corruption_trial_t_First.Click,corruption_trial_t_Last.Click,corruption_trial_t_Page.Submit,corruption_trial_t_Click.Count,rape_trial,rape_trial_t_First.Click,rape_trial_t_Last.Click,rape_trial_t_Page.Submit,rape_trial_t_Click.Count,Earthquake_trial,Earthquake_trial_t_First.Click,Earthquake_trial_t_Last.Click,Earthquake_trial_t_Page.Submit,Earthquake_trial_t_Click.Count,Fastfood_trial,Fastfood_trial_t_First.Click,Fastfood_trial_t_Last.Click,Fastfood_trial_t_Page.Submit,Fastfood_trial_t_Click.Count,Police_trial,Police_trial_t_First.Click,Police_trial_t_Last.Click,Police_trial_t_Page.Submit,Police_trial_t_Click.Count,Check2_trial,Check2_trial_t_First.Click,Check2_trial_t_Last.Click,Check2_trial_t_Page.Submit,Check2_trial_t_Click.Count,Check3_trial,Check3_trial_t_First.Click,Check3_trial_t_Last.Click,Check3_trial_t_Page.Submit,Check3_trial_t_Click.Count,NoDiff1_trial,NoDiff1_trial_t_First.Click,NoDiff1_trial_t_Last.Click,NoDiff1_trial_t_Page.Submit,NoDiff1_trial_t_Click.Count,NoDiff2_trial,NoDiff2_trial_t_First.Click,NoDiff2_trial_t_Last.Click,NoDiff2_trial_t_Page.Submit,NoDiff2_trial_t_Click.Count,NoDiff3_trial,NoDiff3_trial_t_First.Click,NoDiff3_trial_t_Last.Click,NoDiff3_trial_t_Page.Submit,NoDiff3_trial_t_Click.Count,NoDiff4_trial,NoDiff4_trial_t_First.Click,NoDiff4_trial_t_Last.Click,NoDiff4_trial_t_Page.Submit,NoDiff4_trial_t_Click.Count,NoDiff5_trial,NoDiff5_trial_t_First.Click,NoDiff5_trial_t_Last.Click,NoDiff5_trial_t_Page.Submit,NoDiff5_trial_t_Click.Count,BigDiff1_trial,BigDiff1_trial_t_First.Click,BigDiff1_trial_t_Last.Click,BigDiff1_trial_t_Page.Submit,BigDiff1_trial_t_Click.Count,BigDiff2_trial,BigDiff2_trial_t_First.Click,BigDiff2_trial_t_Last.Click,BigDiff2_trial_t_Page.Submit,BigDiff2_trial_t_Click.Count,BigDiff3_trial,BigDiff3_trial_t_First.Click,BigDiff3_trial_t_Last.Click,BigDiff3_trial_t_Page.Submit,BigDiff3_trial_t_Click.Count,BigDiff4_trial,BigDiff4_trial_t_First.Click,BigDiff4_trial_t_Last.Click,BigDiff4_trial_t_Page.Submit,BigDiff4_trial_t_Click.Count,BigDiff5_trial,BigDiff5_trial_t_First.Click,BigDiff5_trial_t_Last.Click,BigDiff5_trial_t_Page.Submit,BigDiff5_trial_t_Click.Count,explain_choices,comments,sex,age,attn,workerId,assignmentId,hitId
3,4/3/18 10:24,4/3/18 10:27,1,650b30154cd11d1d,100,202,1,4/3/18 10:27,R_1onnkQIYEXatqyu,,,,,37.46,-122.24,preview,EN,1,3.444,3.444,4.027,1,0,0,6.889,0,-1,0.289,2.4,2.711,2,-1,2.253,4.214,4.994,2,0,0.383,0.383,1.07,1,0,0.509,1.518,1.795,2,-1,0.74,2.451,3.703,2,0,0.242,0.242,1.169,1,-2,1.787,1.787,2.493,1,1,1.44,1.44,24.07,1,0,0.344,0.344,2.066,1,0,0.336,0.336,1.155,1,1,0.91,0.91,2.737,1,0,0.892,0.892,2.07,1,0,0.47,0.47,1.717,1,-1,0.638,0.638,1.604,1,-1,0.594,0.594,1.668,1,1,0.2,0.2,1.317,1,2,0.8,0.8,21.214,1,-2,9.518,9.518,16.546,1,0,0.481,0.481,6.633,1,1,0.4,0.4,1.853,1,-1,0.191,0.191,1.247,1,0,10.277,10.277,11.094,1,-1,0.462,0.462,1.717,1,-1,0.141,0.141,1.381,1,1,0.309,0.309,1.575,1,0,0.735,2.103,3.472,3,1,0.478,1.614,2.262,3,2,1.698,1.698,2.554,1,2,0.383,3.249,3.635,2,i'm the experimenter,experimenter,1,99,0,650b30154cd11d1d,,
4,4/3/18 21:31,4/3/18 22:08,1,650b30154cd11d1d,100,2191,1,4/3/18 22:08,R_274eAXvLClFP1pY,,,,,33.77,-112.25,preview,EN,1,0,0,31.174,0,0,0,20.525,0,0,9.729,14.202,14.261,4,-1,33.98,37.408,38.493,3,0,12.578,13.556,15.149,3,0,13.082,14.268,15.653,3,0,3.876,36.008,36.997,6,1,2.719,13.801,15.176,3,0,7.136,8.085,8.997,3,0,17.358,18.396,19.501,3,-1,21.418,22.211,23.689,3,0,6.016,45.072,55.906,3,1,43.664,46.508,48,5,0,22.833,23.697,25.158,3,0,12.575,13.447,14.72,3,0,7.121,7.842,8.758,3,0,16.747,17.566,18.544,3,1,5.415,60.904,62.357,4,0,26.291,68.013,69.038,6,-2,43.684,50.333,51.474,5,1,5.625,7.502,7.538,4,0,8.676,11.263,11.853,4,0,17.96,19.706,21.162,3,0,17.623,18.633,20.2,3,0,10.819,11.548,12.728,3,0,14.836,16.814,17.906,3,-1,15.618,16.918,18.315,3,-1,14.345,15.189,16.723,3,1,17.224,18.978,20.063,3,-1,27.635,28.774,29.925,3,2,21.313,22.408,23.59,3,",jyju",jkl,2,23,0,650b30154cd11d1d,,
5,4/4/18 12:27,4/4/18 12:36,1,650b30154cd11d1d,100,547,1,4/4/18 12:36,R_1hB8M8X78T0oAro,,,,,33.41,-111.91,preview,EN,1,0,0,5.093,0,0,0,5.934,0,-2,26.304,26.304,28.684,1,-2,17.057,17.057,18.71,1,1,3.582,3.582,5.996,1,1,8.266,8.266,9.647,1,1,5.938,5.938,7.445,1,1,4.519,4.519,5.956,1,0,40.377,41.992,44.362,2,1,6.183,6.183,7.858,1,-1,3.337,3.337,5.816,1,1,8.804,8.804,10.232,1,2,10.454,10.454,12.485,1,0,2.829,2.829,4.434,1,2,22.04,22.04,25.68,1,1,18.071,18.071,19.882,1,0,2.925,2.925,4.785,1,1,7.348,7.348,8.92,1,0,5.637,5.637,8.113,1,-2,3.066,3.066,4.686,1,1,34.766,34.766,36.789,1,0,3.868,3.868,5.428,1,-1,10.373,10.373,12.489,1,-1,8.659,8.659,10.646,1,0,3.667,3.667,5.738,1,1,18.931,18.931,20.327,1,-1,11.92,11.92,13.313,1,-2,7.399,7.399,9.825,1,2,7.196,7.196,9.504,1,-2,45.314,46.147,47.856,2,1,6.928,6.928,9.418,1,Experimenter,Experimenter,2,23,0,650b30154cd11d1d,,
6,4/4/18 11:12,4/4/18 12:53,1,650b30154cd11d1d,100,6051,1,4/4/18 12:53,R_1dvoYkr1eCISwQK,,,,,33.41,-111.91,preview,EN,,0,0,64.689,0,0,0,15.682,0,,0,0,7.238,0,0,12.673,12.673,14.359,1,0,4.578,4.578,5.879,1,,0,0,10.135,0,0,12.819,12.819,14.768,1,-1,13.96,14.801,16.495,2,0,14.606,14.606,35.493,1,0,26.183,26.183,29.448,1,-1,3.94,3.94,5.198,1,0,20.341,20.341,23.703,1,0,24.975,24.975,27.039,1,0,6.07,6.07,7.511,1,0,38.185,38.185,40.066,1,0,6.674,6.674,9.243,1,0,6.584,6.584,8.098,1,0,53.745,53.745,55.184,1,0,13.613,13.613,14.929,1,-2,26.304,29.67,31.57,2,1,6.671,6.671,8.042,1,0,23.797,23.797,25.236,1,0,91.609,91.609,92.957,1,0,45.994,45.994,47.462,1,0,6.007,6.007,12.997,1,0,11.07,11.07,12.627,1,-2,6.27,6.27,7.615,1,0,77.909,77.909,79.665,1,1,11.393,11.393,12.835,1,-2,4132.068,4132.068,4133.496,1,0,10.083,10.083,11.425,1,Test trial,test trial,2,25,1,650b30154cd11d1d,,
7,4/4/18 15:03,4/4/18 15:15,1,650b30154cd11d1d,100,739,1,4/4/18 15:15,R_UA3le3VPHykfaqB,,,,,33.44,-111.92,preview,EN,1,0,0,17.782,0,0,0,15.245,0,-1,5.091,5.091,7.64,1,1,14.135,14.135,16.092,1,-1,4.644,4.644,6.988,1,0,6.808,6.808,9.666,1,-1,9.216,9.216,11.891,1,1,7.409,7.409,12.455,1,-1,7.601,7.601,11.563,1,0,9.088,9.088,14.952,1,-1,7.976,7.976,10.014,1,2,8.114,8.114,10.839,1,2,12.377,12.377,16.57,1,1,11.247,11.247,13.656,1,0,7.66,7.66,10.018,1,1,8.684,8.684,11.073,1,0,5.226,5.226,8.997,1,1,15.911,17.244,20.425,2,0,18.419,18.419,20.901,1,-2,6.423,6.423,8.495,1,1,6.824,6.824,11.185,1,0,3.728,3.728,7.278,1,0,7.462,7.462,10.023,1,0,6.203,6.203,9.482,1,0,3.354,3.354,6.749,1,0,14.225,14.225,17.756,1,-2,5.325,5.325,8.853,1,-2,6.444,6.444,9.479,1,2,8.411,8.411,13.051,1,-2,5.259,7.775,9.784,3,2,5.409,5.409,8.739,1,"Some of the scenarios were the same, the difference being they occurred in different places (e.x.: mugging in Detroit vs. Denver, rape outside coffee shop vs. bar). To me, Detroit and a bar seemed like more common instances of these incidents (Detroit's history and crime rate; presumption rapes happen more often at bars when people are often taken advantage of when drunk). I imagined that if I was hearing these instances on the news, which event would seem more shocking to me. ",No.,2,23,1,650b30154cd11d1d,,
8,4/20/18 12:00,4/20/18 12:02,0,6f2b8850590d51e5,100,134,1,4/20/18 12:02,R_3FJSdxzJn5RZkQy,,,,,30.39,-87.35,anonymous,EN,1,0,0,4.998,0,0,0,31.432,0,2,0.915,0.915,2.072,1,1,0.456,0.456,1.342,1,-2,0.37,1.43,1.979,2,2,0.323,0.323,1.393,1,1,0.464,0.464,1.733,1,-2,0.328,0.328,1.18,1,0,0.271,0.271,1.444,1,-2,0.411,0.411,1.318,1,-2,0.28,0.28,1.123,1,2,0.408,0.408,1.186,1,0,0.365,0.365,1.09,1,-2,0.195,0.366,1.011,2,2,0.322,0.322,1.654,1,1,0.344,0.344,1.184,1,2,0.427,1.367,1.932,2,0,0.319,0.319,1.164,1,0,0.964,0.964,1.763,1,2,0.793,0.793,1.734,1,-2,0.36,0.36,1.124,1,0,0.27,0.27,1.213,1,1,0.356,0.356,1.246,1,-1,0.235,0.235,1.772,1,1,0.359,0.359,1.435,1,0,0.394,0.394,1.426,1,1,0.295,0.295,1.229,1,1,0.694,0.694,1.528,1,2,0.255,0.255,1.221,1,1,2.43,2.43,3.25,1,-1,0.349,0.349,1.174,1,I chose them based off of emotion,,2,22,1,92355ee4e1b50e9f,3B837J3LDPKMFEG8P75TANJFP0BSR6,34ZTTGSNJXCVQKPYBWZTCZ6NHMIQHW
9,4/20/18 12:00,4/20/18 12:02,0,e25cbf4e67f1e1d2,100,150,1,4/20/18 12:02,R_2eWnwecgob4xGit,,,,,31.15,-85.41,anonymous,EN,1,1.149,3.766,3.897,2,0.561,2.569,19.49,2,0,0.221,0.221,1.059,1,1,0.49,0.49,0.694,1,0,0.256,0.256,0.586,1,0,10.79,10.79,10.962,1,0,0.33,0.77,2.08,2,0,0.574,0.574,0.772,1,0,0.214,0.214,0.651,1,0,1.002,1.002,2.125,1,-1,2.222,2.222,2.572,1,0,1.11,1.11,2.209,1,0,0.616,0.616,1.799,1,0,0.565,0.565,0.696,1,0,0.908,0.908,1.465,1,0,2.523,2.523,2.94,1,0,0.835,0.835,1.615,1,0,0.913,0.913,1.066,1,0,0.691,0.691,1.814,1,-2,0.269,5.824,9.914,3,0,0.258,0.258,0.783,1,0,1.38,1.38,4.772,1,0,0.452,0.452,1.256,1,0,0.806,0.806,1.764,1,0,0.231,0.231,1.853,1,0,0.373,0.373,0.859,1,0,0.619,0.619,1.053,1,0,0.696,0.696,1.271,1,0,0.244,0.244,0.716,1,0,0.65,0.65,1.091,1,0,0.279,0.279,0.705,1,no,no,1,26,1,819a120a565e211b,3Y4W8Q93L0886WE711FEGLMI93EDVQ,3LVTFB9DE56HQOUNRQHBRZUM2M5QGX
10,4/20/18 12:02,4/20/18 12:03,0,4e4b48ebf2ff6896,100,91,1,4/20/18 12:03,R_1gGaNTiFeUQtJkS,,,,,40.13,-89.36,anonymous,EN,1,0,0,3.965,0,0,0,6.307,0,0,0,0,1.518,0,0,0,0,1.521,0,0,0,0,1.706,0,-2,3.378,3.378,4.104,1,0,0,0,0.797,0,0,0,0,0.913,0,0,0,0,1.105,0,0,0,0,0.841,0,0,0,0,0.843,0,0,0,0,0.778,0,0,0,0,1.124,0,0,0,0,0.806,0,0,0,0,0.807,0,0,0,0,1.461,0,0,0,0,1.135,0,0,0,0,0.902,0,0,0,0,1.245,0,0,0,0,0.643,0,0,0,0,1.571,0,0,0,0,2.949,0,0,0,0,1.161,0,2,0,0,1.522,0,0,0,0,1.533,0,2,0,0,1.261,0,0,0,0,0.925,0,2,0.804,0.804,1.348,1,0,0,0,1.219,0,0,0,0,0.734,0,0,0,0,0.762,0,I enjoyed taking this survey.,I enjoyed taking this survey.,1,35,0,41fee3c4af5175b0,3GM6G9ZBKOLWXYGV9ZE2YTLRLWQTM8,3N2YPY1GI6MBBIUD7ULXXJ8I6Y5VEF
11,4/20/18 12:00,4/20/18 12:03,0,089989d69d42b746,100,214,1,4/20/18 12:03,R_1GV0sNNXHRsoLva,,,,,39.77,-86.11,anonymous,EN,1,0,0,4.593,0,0,0,5.88,0,0,2.309,2.983,3.282,2,0,5.05,5.05,5.727,1,0,1.096,1.096,2.279,1,0,1.175,1.175,2.323,1,1,4.581,4.581,5.962,1,0,1.258,1.258,3.055,1,0,0.661,0.661,1.971,1,0,4.933,5.473,5.746,2,-1,4.585,4.585,7.007,1,1,0.64,8.181,9.054,2,0,2.156,2.156,2.97,1,0,0.932,0.932,1.9,1,-2,3.465,3.975,5.093,2,0,1.437,1.437,2.18,1,0,0.57,0.57,1.58,1,1,1.404,4.416,5.061,2,0,6.081,6.081,6.97,1,-2,2.446,2.446,3.372,1,1,5.531,5.531,7.224,1,0,1.264,1.264,1.941,1,0,1.739,1.739,3.379,1,0,0.646,0.646,2.351,1,0,2.043,2.043,2.988,1,0,1.875,1.875,2.869,1,-2,3.728,3.728,4.268,1,-2,2.695,3.22,4.273,2,0,8.573,8.573,11.016,1,-1,1.2,3.573,4.515,2,0,1.556,2.401,2.822,2,"Most of the events were the same except for location where it happened, so most, in my mind, were equally upsetting.",None,1,33,1,ba76a972875ed999,3CFVK00FWM96PINYDA5UN6EO1JPL6N,37MQ8Z1JQEK0KWD2JLDG2H3NRCI2YU
12,4/20/18 12:00,4/20/18 12:05,0,47bd40e4e52caf33,100,305,1,4/20/18 12:05,R_2aWGt3cIsq03ocW,,,,,28.83,-81.48,anonymous,EN,1,0,0,4.692,0,0,0,5.9,0,0,2.567,8.277,9.273,5,-1,7.097,7.097,8.32,1,0,2.216,3.378,5.039,3,0,5.326,7.996,10.196,3,0,4.155,6.26,7.006,4,0,3.54,3.54,4.56,1,0,2.904,2.904,4.104,1,1,5.445,6.955,7.842,2,-1,4.787,4.787,6.487,1,2,6.596,6.596,8.365,1,-1,8.876,8.876,10.231,1,0,3.732,3.732,5.2,1,1,4.803,4.803,5.839,1,0,3.761,4.745,5.536,2,0,2.666,3.354,4.281,2,2,6.298,6.298,8.113,1,-1,6.949,6.949,8.13,1,-2,10.439,10.439,12.279,1,1,11.902,11.902,14.221,1,0,5.555,5.555,6.382,1,0,3.653,3.653,5.351,1,0,3.79,3.79,4.696,1,1,5.543,5.543,7.153,1,1,3.663,4.541,5.045,2,-2,6.019,6.019,7.392,1,-1,3.24,3.24,4.027,1,0,4.716,4.716,5.993,1,0,6.935,9.06,10.302,2,2,3.135,4.208,5.365,2,I chose my answer by how extreme it was. ,,2,28,1,9a30349b6ce5320e,3R0T90IZ1T0FJ7IYCALHWE1Q1OEGC4,334ZEL5JX63HVHQY7DJOR8IPBWHSOB
