,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q18_First.Click,Q18_Last.Click,Q18_Page.Submit,Q18_Click.Count,Q17_First.Click,Q17_Last.Click,Q17_Page.Submit,Q17_Click.Count,Earthquake_trial,Earthquake_trial_t_First.Click,Earthquake_trial_t_Last.Click,Earthquake_trial_t_Page.Submit,Earthquake_trial_t_Click.Count,Tornado_trial,Tornado_trial_t_First.Click,Tornado_trial_t_Last.Click,Tornado_trial_t_Page.Submit,Tornado_trial_t_Click.Count,Fastfood_trial,Fastfood_trial_t_First.Click,Fastfood_trial_t_Last.Click,Fastfood_trial_t_Page.Submit,Fastfood_trial_t_Click.Count,Marine_trial,Marine_trial_t_First.Click,Marine_trial_t_Last.Click,Marine_trial_t_Page.Submit,Marine_trial_t_Click.Count,Police_trial,Police_trial_t_First.Click,Police_trial_t_Last.Click,Police_trial_t_Page.Submit,Police_trial_t_Click.Count,Mugging_trial,Mugging_trial_t_First.Click,Mugging_trial_t_Last.Click,Mugging_trial_t_Page.Submit,Mugging_trial_t_Click.Count,Crushed_trial,Crushed_trial_t_First.Click,Crushed_trial_t_Last.Click,Crushed_trial_t_Page.Submit,Crushed_trial_t_Click.Count,Dysentery_trial,Dysentery_trial_t_First.Click,Dysentery_trial_t_Last.Click,Dysentery_trial_t_Page.Submit,Dysentery_trial_t_Click.Count,Cancer_trial,Cancer_trial_t_First.Click,Cancer_trial_t_Last.Click,Cancer_trial_t_Page.Submit,Cancer_trial_t_Click.Count,Drunk_trial,Drunk_trial_t_First.Click,Drunk_trial_t_Last.Click,Drunk_trial_t_Page.Submit,Drunk_trial_t_Click.Count,Football_trial,Football_trial_t_First.Click,Football_trial_t_Last.Click,Football_trial_t_Page.Submit,Football_trial_t_Click.Count,Check_trial,Check_trial_t_First.Click,Check_trial_t_Last.Click,Check_trial_t_Page.Submit,Check_trial_t_Click.Count,Heater_trial,Heater_trial_t_First.Click,Heater_trial_t_Last.Click,Heater_trial_t_Page.Submit,Heater_trial_t_Click.Count,flattire_trial,flattire_trial_t_First.Click,flattire_trial_t_Last.Click,flattire_trial_t_Page.Submit,flattire_trial_t_Click.Count,clerk_trial,clerk_trial_t_First.Click,clerk_trial_t_Last.Click,clerk_trial_t_Page.Submit,clerk_trial_t_Click.Count,corruption_trial,corruption_trial_t_First.Click,corruption_trial_t_Last.Click,corruption_trial_t_Page.Submit,corruption_trial_t_Click.Count,rape_trial,rape_trial_t_First.Click,rape_trial_t_Last.Click,rape_trial_t_Page.Submit,rape_trial_t_Click.Count,NoDiff1_trial,NoDiff1_trial_t_First.Click,NoDiff1_trial_t_Last.Click,NoDiff1_trial_t_Page.Submit,NoDiff1_trial_t_Click.Count,NoDiff2_trial,NoDiff2_trial_t_First.Click,NoDiff2_trial_t_Last.Click,NoDiff2_trial_t_Page.Submit,NoDiff2_trial_t_Click.Count,NoDiff3_trial,NoDiff3_trial_t_First.Click,NoDiff3_trial_t_Last.Click,NoDiff3_trial_t_Page.Submit,NoDiff3_trial_t_Click.Count,NoDiff4_trial,NoDiff4_trial_t_First.Click,NoDiff4_trial_t_Last.Click,NoDiff4_trial_t_Page.Submit,NoDiff4_trial_t_Click.Count,NoDiff5_trial,NoDiff5_trial_t_First.Click,NoDiff5_trial_t_Last.Click,NoDiff5_trial_t_Page.Submit,NoDiff5_trial_t_Click.Count,BigDiff1_trial,BigDiff1_trial_t_First.Click,BigDiff1_trial_t_Last.Click,BigDiff1_trial_t_Page.Submit,BigDiff1_trial_t_Click.Count,BigDiff2_trial,BigDiff2_trial_t_First.Click,BigDiff2_trial_t_Last.Click,BigDiff2_trial_t_Page.Submit,BigDiff2_trial_t_Click.Count,BigDiff3_trial,BigDiff3_trial_t_First.Click,BigDiff3_trial_t_Last.Click,BigDiff3_trial_t_Page.Submit,BigDiff3_trial_t_Click.Count,BigDiff4_trial,BigDiff4_trial_t_First.Click,BigDiff4_trial_t_Last.Click,BigDiff4_trial_t_Page.Submit,BigDiff4_trial_t_Click.Count,BigDiff5_trial,BigDiff5_trial_t_First.Click,BigDiff5_trial_t_Last.Click,BigDiff5_trial_t_Page.Submit,BigDiff5_trial_t_Click.Count,why,thoughts,sex,age,attn,workerId,assignmentId,hitId
3,3/27/18 10:59,3/27/18 11:00,0,0c61eb55b2411466,100,100,1,3/27/18 11:00,R_C1aHPZ8kYhZuZ2N,,,,,33.41,-111.91,anonymous,EN,1,3.739,3.739,4.576,1,5.833,6.16,6.415,2,1,0.264,0.264,1.137,1,1,0.196,0.9,1.2,2,1,0.212,0.212,0.942,1,1,0.251,0.665,1.473,2,1,0.211,0.53,1.495,2,0,0.231,0.231,0.883,1,1,0.556,0.556,1.255,1,1,0.414,0.414,1.583,1,1,0.29,0.29,0.959,1,1,0.251,0.979,1.334,2,1,0.313,1.267,1.648,3,1,0.255,0.255,1.047,1,1,0.293,1.026,1.286,2,1,0.25,0.25,1.075,1,1,0.667,0.667,1.6,1,0,0.258,0.258,1.051,1,1,0.153,0.153,0.914,1,1,0.309,0.309,1.085,1,1,0.283,0.987,1.264,2,1,0.366,0.366,1.104,1,1,0.302,1.044,1.424,2,0,0.229,0.229,0.905,1,1,0.072,0.072,0.928,1,1,0.206,0.206,0.985,1,1,0.22,0.22,0.936,1,1,0.202,0.202,0.948,1,1,0.266,0.266,1.044,1,experimenter test,experimenter test,1,95,0,650b30154cd11d1d,,
4,3/29/18 8:47,3/29/18 8:50,0,58a180a4c12fa5a7,100,191,1,3/29/18 8:50,R_3qUIJ2qkTAMZA3t,,,,,25.98,-80.34,anonymous,EN,1,0.42,0.602,10.754,2,5.904,5.904,6.17,1,1,2.388,2.97,3.474,2,1,15.788,15.788,16.542,1,0,0.57,0.57,2.144,1,1,23.26,23.26,23.874,1,1,5.554,6.228,6.68,2,1,1.496,1.496,2.228,1,1,2.596,2.596,3.182,1,1,1.398,1.398,1.944,1,0,1.87,1.87,2.962,1,0,0.974,4.99,5.548,2,1,0.51,0.51,1.424,1,0,2.468,2.468,3.298,1,0,1.438,1.438,6.77,1,0,2.646,2.646,4.626,1,0,2.434,2.434,2.958,1,0,1.69,1.69,2.568,1,1,2.016,2.016,2.784,1,0,1.756,1.756,2.312,1,1,6.654,12.976,13.774,2,1,1.058,1.058,1.972,1,0,2.524,2.524,3.098,1,0,1.292,1.292,1.946,1,0,1.008,1.456,3.196,2,1,0.458,0.458,1.944,1,0,0.706,1.458,2.224,2,0,0.638,2.066,2.524,3,0,1.67,1.67,2.356,1,I chose the ones that seemed the most unlikely.,,1,29,1,593d4b28175896ef,3PEIJLRY6UHZJRJTIBLMWU8OUWAXW6,39HYCOOPKO9NTPM4X79M457KECIMDN
5,3/29/18 8:47,3/29/18 8:51,0,73caf621b3eb2a46,100,222,1,3/29/18 8:51,R_1dyiNw9TCiM6FIJ,,,,,41.31,-72.92,anonymous,EN,1,3.807,3.807,4.079,1,0,0,5.662,0,0,3.777,3.777,4.729,1,0,2.858,2.858,3.396,1,0,2.632,3.729,4.835,2,0,7.412,7.412,8.34,1,0,7.931,9.383,9.671,2,1,2.052,3.748,4.172,4,0,4.16,7.289,7.8,5,0,3.891,3.891,4.568,1,1,4.266,4.266,5.303,1,0,3.097,3.097,3.73,1,1,3.876,3.876,4.555,1,0,1.862,1.862,2.892,1,1,4.036,4.036,4.572,1,1,8.883,8.883,9.51,1,1,3.102,3.102,3.584,1,0,3.162,3.162,3.901,1,1,2.595,3.634,4.325,3,1,2.702,2.702,3.264,1,1,3.541,3.541,4.162,1,0,6.452,7.357,7.613,2,0,3.408,4.303,4.531,3,1,9.253,9.96,10.264,2,0,6.381,7.366,8.151,2,0,2.267,2.267,3.224,1,1,5.96,6.547,6.799,2,0,2.498,2.498,3.078,1,0,2.37,2.852,3.129,2,It was more upsetting the more relevant to me it was ,,1,27,1,2db8d35bab458254,3ZY8KE4ISKR2V5IC6NLYGKTHQKLVQX,39HYCOOPKO9NTPM4X79M457KECIMDN
6,3/29/18 9:13,3/29/18 9:14,0,5369e5e601ad0e66,100,90,1,3/29/18 9:14,R_0cZI8weeu95dL1v,,,,,40.52,-78.37,anonymous,EN,1,0,0,3.644,0,0,0,5.52,0,0,0.098,0.098,0.666,1,0,0.412,0.412,0.908,1,1,0.324,0.324,0.912,1,0,2.148,2.148,2.814,1,0,0.47,0.47,1.078,1,1,0.154,0.154,0.77,1,1,0.008,0.008,0.62,1,1,0.298,0.298,0.732,1,1,0.152,0.152,0.74,1,0,0.304,0.906,1.18,2,0,4.614,4.614,5.582,1,0,0.072,0.072,0.726,1,0,0.06,0.06,0.97,1,1,0.064,0.664,1.236,3,1,0,0,0.522,0,1,0.43,1.06,1.632,2,0,0.44,0.44,0.956,1,1,0.148,0.148,0.716,1,1,0.354,0.354,1.002,1,0,0.274,1.266,1.55,3,0,0.36,0.36,0.956,1,0,0.084,0.084,0.65,1,0,0.23,0.23,0.91,1,0,0.254,0.254,0.774,1,1,0.072,0.072,0.68,1,0,0.044,0.044,0.668,1,1,0.078,0.63,0.918,2,Based off of my gut feeling,no,1,23,1,fa774ad82318f7e6,3NPFYT4IZDS3M5TT36H4ARM008PGXV,3PIOQ99R7YAFS9IQV3EBRK0852NUN5
7,3/29/18 9:11,3/29/18 9:14,0,1d51321183f5bdee,100,215,1,3/29/18 9:14,R_3Of7ibi0FqS1HeS,,,,,39.65,-79.94,anonymous,EN,1,0,0,4.961,0,0,0,43.349,0,0,1.834,1.834,2.823,1,0,2.076,2.91,3.416,2,0,1.736,1.736,2.227,1,0,3.347,3.347,3.899,1,1,2.339,2.339,3.272,1,0,3.059,3.059,3.516,1,0,1.921,2.809,3.369,2,0,2.188,2.188,2.725,1,1,1.563,1.563,2.153,1,0,1.686,1.686,2.183,1,0,2.688,2.688,3.365,1,0,5.194,5.194,5.823,1,1,1.787,2.732,3.158,2,1,3.556,3.556,4.449,1,1,1.517,1.922,2.545,2,1,1.822,1.822,2.521,1,1,1.873,3.65,3.908,3,1,1.429,1.429,2.085,1,1,2.38,2.38,3.063,1,0,2.13,2.13,2.988,1,0,1.782,1.782,2.912,1,1,1.254,1.254,1.939,1,0,32.544,32.544,33.112,1,0,1.204,1.204,2.036,1,1,0.981,1.636,3.304,2,0,3.097,3.097,3.679,1,1,1.815,1.815,2.439,1,I just chose rationally/logically after thinking through each option.,N/A,2,26,1,4ed655fa8f11b522,33IZTU6J82P6CA2KY6BLZ553OJISXQ,375VMB7D4J71X6WDCSBUCC03X3YID3
8,3/29/18 9:11,3/29/18 9:15,0,36c9b5c3e4b37814,100,202,1,3/29/18 9:15,R_1FvmUTEcXLizAg9,,,,,39.65,-79.94,anonymous,EN,1,0,0,4.589,0,0,0,10.255,0,0,3.088,3.088,3.871,1,0,2.222,2.222,3.356,1,0,4.509,4.509,5.371,1,1,4.566,4.566,5.541,1,0,9.418,9.418,10.359,1,0,2.277,2.277,3.012,1,0,3.137,3.137,4.502,1,0,2.437,3.606,4.245,2,1,3.115,3.115,4.34,1,0,3.651,3.651,4.814,1,0,3.678,4.291,5.151,2,0,2.529,2.529,3.309,1,1,5.803,5.803,6.716,1,1,5.583,5.583,6.381,1,1,3.196,3.196,4.174,1,1,2.884,2.884,3.75,1,1,2.429,2.429,3.615,1,1,4.13,4.793,5.124,2,0,4.177,4.177,5.053,1,1,3.228,3.228,4.01,1,1,3.255,3.255,5.16,1,1,3.352,3.352,4.106,1,0,3.363,3.363,4.196,1,1,4.232,4.232,4.997,1,1,5.391,5.391,6.461,1,0,2.569,2.569,3.349,1,0,2.028,2.028,2.784,1,I chose the option that seemed worse. ,N/A,1,37,1,8a04af0ad6fdc08e,39U1BHVTDMFVBC8L3H9N2UCLJ7VT3G,3J6BHNX0U9G1PDDE1PA9LXRA3BPKNY
9,3/29/18 9:11,3/29/18 9:15,0,2a2329e9798c298b,100,202,1,3/29/18 9:15,R_z6Gf64we6aDJo2Z,,,,,35.19,-119.22,anonymous,EN,1,0,0,4.209,0,0,0,6.021,0,0,2.581,2.586,3.189,2,0,4.9,4.905,5.298,2,0,3.616,3.986,4.014,3,1,3.929,3.936,4.603,2,1,5.908,6.562,6.892,5,0,7.827,8.268,8.295,3,1,2.296,2.639,3.055,3,0,2.536,2.542,2.931,2,0,5.474,6.171,6.577,3,0,2.608,3.065,3.479,4,1,5.933,6.323,6.573,3,0,1.797,2.256,3.659,4,1,1.543,2.05,2.074,3,1,6.405,6.41,6.959,2,1,6.012,6.012,6.915,1,0,2.175,2.501,2.873,4,1,1.886,1.891,2.227,2,1,1.92,2.143,2.581,4,1,3.398,3.403,3.978,2,0,3.174,3.174,4.165,1,1,2.257,2.261,2.59,2,1,5.712,5.718,6.218,2,0,1.817,2.1,2.128,3,0,2.949,2.955,3.552,2,1,3.075,3.081,3.411,2,0,1.611,1.97,2.292,3,1,2.334,2.339,2.785,2,"It was really difficult to choose what was worse, but I went for things that would cause pain to people who would not expect it.",n/a,2,26,1,306bf59f143999d4,3IGI0VL6488M2OWNPJ73HY44PG5ON5,375VMB7D4J71X6WDCSBUCC03X3YID3
10,3/29/18 9:14,3/29/18 9:15,0,833337d378238f74,100,99,1,3/29/18 9:15,R_1dMKqSpgLJQinXf,,,,,39.09,-77.65,anonymous,EN,1,0,0,3.922,0,0,0,5.949,0,0,0.157,0.171,0.663,2,0,0.198,0.534,0.59,3,0,0.251,0.666,0.721,3,0,0.222,0.24,0.66,2,0,0.232,0.647,0.7,3,0,0.322,0.34,0.737,2,0,0.232,1.624,1.677,4,0,0.212,0.23,0.605,2,1,0.368,0.735,0.789,3,1,0.349,0.372,0.848,2,0,0.261,0.28,0.763,2,0,1.397,1.416,1.792,2,1,0.327,0.349,0.846,2,0,0.369,0.705,0.761,3,0,0.192,0.543,0.593,3,1,0.341,0.359,0.859,2,0,0.291,0.309,0.684,2,0,0.235,0.253,0.699,2,1,0.508,0.531,1.125,2,0,0.319,0.338,0.728,2,1,0.343,0.359,0.775,2,0,0.335,0.352,0.738,2,0,0.217,0.55,0.603,3,0,0.245,0.263,0.617,2,0,0.217,0.244,0.689,2,0,0.334,0.717,1.525,3,0,0.282,0.569,0.621,3,Best,Na,2,31,1,bcb403658e9e431e,3PW9OPU9PR85HA0TXYB8DEOYLA5216,3GL25Y6843I1RVRLO7AYYCACUUUMXP
11,3/29/18 9:11,3/29/18 9:15,0,43e2c94f3c8122ee,100,248,1,3/29/18 9:15,R_1FDjlOUjoFuS34i,,,,,39.25,-84.24,anonymous,EN,1,0,0,8.111,0,0,0,6.448,0,1,3.038,3.038,3.632,1,0,2.376,2.376,2.946,1,1,5.166,5.166,5.699,1,0,4.97,4.97,5.649,1,1,6.322,6.322,6.971,1,0,1.954,1.954,2.758,1,0,4.171,4.171,4.757,1,0,2.932,2.932,3.511,1,0,3.181,3.181,3.907,1,0,6.723,6.723,7.355,1,0,4.269,4.269,4.808,1,0,1.56,1.56,2.067,1,1,4.449,4.449,5.375,1,1,6.676,6.676,7.34,1,0,3.57,3.57,4.104,1,0,4.942,4.942,5.474,1,1,2.174,2.174,3.001,1,1,2.293,2.293,3.078,1,1,2.994,2.994,3.667,1,0,3.892,3.892,4.547,1,0,5.339,5.339,6.002,1,1,3.867,3.867,5.775,1,0,3.398,3.398,4.069,1,0,3.968,3.968,4.555,1,1,3.155,3.155,4.331,1,0,5.606,5.606,6.347,1,1,2.559,2.559,3.542,1,"I usually just selected whichever one would most upset me. If an incident seemed less likely to happen (having a tornado destroy a house in Oregon versus...Oklahoma, I think?) I'd rate that as more distressing because it was more unexpected. For some questions (woman raped leaving bar vs leaving coffee shop) I honestly found both options equally distressing, so I just picked one somewhat at random.",No.,2,26,1,de2023c7f2d0aae6,3X4JMASXCNXZYYF7K80J028SAOC0B3,3VMHWJRYHV4VLLZ42K6L3MQ3XTIXFT
12,3/29/18 9:11,3/29/18 9:16,0,30a18319083d367e,100,281,1,3/29/18 9:16,R_27kegqjJjdi3dt6,,,,,43.71,-84.24,anonymous,EN,1,0,0,3.749,0,0,0,6.062,0,0,3.307,4.291,5.161,2,0,4.153,8.618,9.191,4,0,4.138,4.138,4.84,1,0,7.282,7.282,8.127,1,0,7.35,7.35,8.765,1,0,2.906,4.346,4.76,2,0,3.279,3.279,4.127,1,0,4.971,6.443,7.634,2,1,2.992,2.992,3.583,1,0,3.23,4.213,4.965,2,0,5.373,5.373,6.213,1,0,3.813,3.813,5.211,1,1,5.596,5.596,6.642,1,0,8.788,9.94,10.209,2,1,2.511,4.024,4.996,3,1,7.787,8.931,9.248,2,0,3.928,3.928,5.311,1,0,7.733,7.733,8.875,1,1,3.257,3.257,4.048,1,0,8.308,8.308,9.145,1,0,2.882,2.882,4.409,1,0,3.513,3.513,4.623,1,0,12.396,12.396,13.595,1,0,12.486,12.486,13.234,1,1,3.716,3.716,4.706,1,0,4.357,4.357,5.515,1,0,3.133,3.133,4.09,1,"Some of them were obvious choices, but some of them I had to just choose one because they were equally as bad.",no,1,23,1,2ade0cb333f4176a,3ATTHHXXWBCHIWZOTUH7V3ZGFLGXI3,375VSR8FVWXHT64SUXU0HWKX8HRZRN
